"table","column","description"
"1","Master","playerID","Player ID code"
"2","Master","the","data in"
"3","Master","birthYear","Year player was born"
"4","Master","birthMonth","Month player was born"
"5","Master","birthDay","Day player was born"
"6","Master","birthCountry","Country where player was born"
"7","Master","birthState","State where player was born"
"8","Master","birthCity","City where player was born"
"9","Master","deathYear","Year player died"
"10","Master","deathMonth","Month player died"
"11","Master","deathDay","Day player died"
"12","Master","deathCountry","Country where player died"
"13","Master","deathState","State where player died"
"14","Master","deathCity","City where player died"
"15","Master","nameFirst","Players first name
16	Master	nameLast	Players last name"
"17","Master","nameGiven","Players given name (typically first and middle)
18	Master	weight	Players weight in pounds"
"19","Master","height","Players height in inches
20	Master	bats	Players batting hand (left, right, or both)"
"21","Master","throws","Players throwing hand (left or right)
22	Master	debut	Date that player made first major league appearance
23	Master	finalGame	Date that player made first major league appearance (blank if still active)
24	Master	retroID	ID used by retrosheet
25	Master	bbrefID	ID used by Baseball Reference website
26	Batting	playerID	Player ID code
27	Batting	yearID	Year
28	Batting	stint	players stint (order of appearances within a season)"
"29","Batting","teamID","Team"
"30","Batting","lgID","League"
"31","Batting","G","Games"
"32","Batting","AB","At Bats"
"33","Batting","R","Runs"
"34","Batting","H","Hits"
"35","Batting","2B","Doubles"
"36","Batting","3B","Triples"
"37","Batting","HR","Homeruns"
"38","Batting","RBI","Runs Batted In"
"39","Batting","SB","Stolen Bases"
"40","Batting","CS","Caught Stealing"
"41","Batting","BB","Base on Balls"
"42","Batting","SO","Strikeouts"
"43","Batting","IBB","Intentional walks"
"44","Batting","HBP","Hit by pitch"
"45","Batting","SH","Sacrifice hits"
"46","Batting","SF","Sacrifice flies"
"47","Batting","GIDP","Grounded into double plays"
"48","Pitching","playerID","Player ID code"
"49","Pitching","yearID","Year"
"50","Pitching","stint","players stint (order of appearances within a season)
51	Pitching	teamID	Team
52	Pitching	lgID	League
53	Pitching	W	Wins
54	Pitching	L	Losses
55	Pitching	G	Games
56	Pitching	GS	Games Started
57	Pitching	CG	Complete Games
58	Pitching	SHO	Shutouts
59	Pitching	SV	Saves
60	Pitching	IPOuts	Outs Pitched (innings pitched x 3)
61	Pitching	H	Hits
62	Pitching	ER	Earned Runs
63	Pitching	HR	Homeruns
64	Pitching	BB	Walks
65	Pitching	SO	Strikeouts
66	Pitching	BAOpp	Opponents Batting Average"
"67","Pitching","ERA","Earned Run Average"
"68","Pitching","IBB","Intentional Walks"
"69","Pitching","WP","Wild Pitches"
"70","Pitching","HBP","Batters Hit By Pitch"
"71","Pitching","BK","Balks"
"72","Pitching","BFP","Batters faced by Pitcher"
"73","Pitching","GF","Games Finished"
"74","Pitching","R","Runs Allowed"
"75","Pitching","SH","Sacrifices by opposing batters"
"76","Pitching","SF","Sacrifice flies by opposing batters"
"77","Pitching","GIDP","Grounded into double plays by opposing batter"
"78","Fielding","playerID","Player ID code"
"79","Fielding","yearID","Year"
"80","Fielding","stint","players stint (order of appearances within a season)
81	Fielding	teamID	Team
82	Fielding	lgID	League
83	Fielding	Pos	Position
84	Fielding	G	Games
85	Fielding	GS	Games Started
86	Fielding	InnOuts	Time played in the field expressed as outs
87	Fielding	PO	Putouts
88	Fielding	A	Assists
89	Fielding	E	Errors
90	Fielding	DP	Double Plays
91	Fielding	PB	Passed Balls (by catchers)
92	Fielding	WP	Wild Pitches (by catchers)
93	Fielding	SB	Opponent Stolen Bases (by catchers)
94	Fielding	CS	Opponents Caught Stealing (by catchers)
95	Fielding	ZR	Zone Rating
96	AllstarFull	playerID	Player ID code
97	AllstarFull	YearID	Year
98	AllstarFull	gameNum	Game number (zero if only one All-Star game played that season)
99	AllstarFull	gameID	Retrosheet ID for the game idea
100	AllstarFull	teamID	Team
101	AllstarFull	lgID	League
102	AllstarFull	GP	1 if Played in the game
103	AllstarFull	startingPos	If player was game starter, the position played
104	HallOfFame	playerID	Player ID code
105	HallOfFame	yearID	Year of ballot
106	HallOfFame	votedBy	Method by which player was voted upon
107	HallOfFame	ballots	Total ballots cast in that year
108	HallOfFame	needed	Number of votes needed for selection in that year
109	HallOfFame	votes	Total votes received
110	HallOfFame	inducted	Whether player was inducted by that vote or not (Y or N)
111	HallOfFame	category	Category in which candidate was honored
112	HallOfFame	needed_note	Explanation of qualifiers for special elections
113	Managers	NA	
114	Managers	playerID	Player ID Number
115	Managers	yearID	Year
116	Managers	teamID	Team
117	Managers	lgID	League
118	Managers	inseason	Managerial order. Zero if the individual managed the team
119	Managers	the	entire year.
120	Managers	in	the managerial
121	Managers	G	Games managed
122	Managers	W	Wins
123	Managers	L	Losses
124	Managers	rank	Teams final position in standings that year"
"125","Managers","plyrMgr","Player Manager (denoted by Y)"
"126","Teams","yearID","Year"
"127","Teams","lgID","League"
"128","Teams","teamID","Team"
"129","Teams","franchID","Franchise (links to TeamsFranchise table)"
"130","Teams","divID","Teams division
131	Teams	Rank	Position in final standings
132	Teams	G	Games played
133	Teams	GHome	Games played at home
134	Teams	W	Wins
135	Teams	L	Losses
136	Teams	DivWin	Division Winner (Y or N)
137	Teams	WCWin	Wild Card Winner (Y or N)
138	Teams	LgWin	League Champion(Y or N)
139	Teams	WSWin	World Series Winner (Y or N)
140	Teams	R	Runs scored
141	Teams	AB	At bats
142	Teams	H	Hits by batters
143	Teams	2B	Doubles
144	Teams	3B	Triples
145	Teams	HR	Homeruns by batters
146	Teams	BB	Walks by batters
147	Teams	SO	Strikeouts by batters
148	Teams	SB	Stolen bases
149	Teams	CS	Caught stealing
150	Teams	HBP	Batters hit by pitch
151	Teams	SF	Sacrifice flies
152	Teams	RA	Opponents runs scored
153	Teams	ER	Earned runs allowed
154	Teams	ERA	Earned run average
155	Teams	CG	Complete games
156	Teams	SHO	Shutouts
157	Teams	SV	Saves
158	Teams	IPOuts	Outs Pitched (innings pitched x 3)
159	Teams	HA	Hits allowed
160	Teams	HRA	Homeruns allowed
161	Teams	BBA	Walks allowed
162	Teams	SOA	Strikeouts by pitchers
163	Teams	E	Errors
164	Teams	DP	Double Plays
165	Teams	FP	Fielding percentage
166	Teams	name	Teams full name"
