"table","description"
"Master"," Player names, DOB, and biographical info"
"Batting"," Batting statistics"
"Pitching"," Pitching statistics"
"Fielding"," Fielding statistics"
"AllStarFull"," All-Star appearances"
"HallofFame"," Hall of Fame voting data"
"Managers"," Managerial statistics"
"Teams"," Yearly stats and standings "
"BattingPost"," Post-season batting statistics"
"PitchingPost"," Post-season pitching statistics"
"TeamFranchises"," Franchise information"
"FieldingOF"," Outfield position data  "
"FieldingPost"," Post-season fielding data"
"FieldingOFsplit"," LF/CF/RF splits"
"ManagersHalf"," Split season data for managers"
"TeamsHalf"," Split season data for teams"
"Salaries"," Player salary data"
"SeriesPost"," Post-season series information"
"AwardsManagers"," Awards won by managers "
"AwardsPlayers"," Awards won by players"
"AwardsShareManagers"," Award voting for manager awards"
"AwardsSharePlayers"," Award voting for player awards"
"Appearances"," Details on the positions a player appeared at"
"Schools"," List of colleges that players attended"
"CollegePlaying"," List of players and the colleges they attended"
"Parks"," List of major league ballparls"
"HomeGames"," Number of homegames played by each team in each ballpark"
